タイトル,機関名,リポジトリ名,対象年,対象月,総件数,本文あり件数,DOI付与件数,embargoed access(全件数),metadata only access(全件数),restricted access(全件数),open access(全件数),abstract(全件数),fulltext(全件数),summary(全件数),thumbnail(全件数),dataset,software,other(objectType)(全件数),conference paper(全件数),data paper(全件数),departmental bulletin paper(全件数),editorial(全件数),journal article(全件数),periodical(全件数),review article(全件数),article(全件数),book(全件数),book part(全件数),cartographic material(全件数),map(全件数),conference object(全件数),conference proceedings(全件数),conference poster(全件数),dataset(全件数),image(全件数),still image(全件数),moving image(全件数),video(全件数),lecture(全件数),patent(全件数),internal report(全件数),report(全件数),research report(全件数),technical report(全件数),policy report(全件数),report part(全件数),working paper(全件数),sound(全件数),thesis(全件数),bachelor thesis(全件数),master thesis(全件数),doctoral thesis(全件数),interactive resource(全件数),learning object(全件数),musical notation(全件数),research proposal(全件数),software(全件数),technical documentation(全件数),workflow(全件数),data management plan(全件数),interview(全件数),manuscript(全件数),newspaper(全件数),software paper(全件数),other(全件数),embargoed access(本文あり),metadata only access(本文あり),restricted access(本文あり),open access(本文あり),abstract(本文あり),fulltext(本文あり),summary(本文あり),thumbnail(本文あり),dataset(本文あり),software(本文あり),other(objectType)(本文あり),conference paper(本文あり),data paper(本文あり),departmental bulletin paper(本文あり),editorial(本文あり),journal article(本文あり),periodical(本文あり),review article(本文あり),article(本文あり),book(本文あり),book part(本文あり),cartographic material(本文あり),map(本文あり),conference object(本文あり),conference proceedings(本文あり),conference poster(本文あり),dataset(本文あり),image(本文あり),still image(本文あり),moving image(本文あり),video(本文あり),lecture(本文あり),patent(本文あり),internal report(本文あり),report(本文あり),research report(本文あり),technical report(本文あり),policy report(本文あり),report part(本文あり),working paper(本文あり),sound(本文あり),thesis(本文あり),bachelor thesis(本文あり),master thesis(本文あり),doctoral thesis(本文あり),interactive resource(本文あり),learning object(本文あり),musical notation(本文あり),research proposal(本文あり),software(本文あり),technical documentation(本文あり),workflow(本文あり),data management plan(本文あり),interview(本文あり),manuscript(本文あり),newspaper(本文あり),software paper(本文あり),other(本文あり)
2023年01月,山形県立米沢栄養大学,山形県公立大学法人学術機関リポジトリ,2023,1,545,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,137,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,137,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,山形県立保健医療大学,山形県立保健医療大学リポジトリ,2023,1,199,196,14,0,0,0,4,0,4,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,和洋女子大学,和洋女子大学学術リポジトリ,2023,1,1652,1290,99,0,362,0,10,0,10,0,0,0,0,0,0,0,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,10,0,10,0,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,154
2023年01月,早稲田大学,早稲田大学リポジトリ,2023,1,70100,67351,79,0,0,0,2520,0,2520,0,0,0,0,0,1917,0,26946,0,445,0,0,996,4992,0,0,0,25,0,0,20357,0,0,0,0,0,0,0,0,456,111,0,0,0,0,7003,0,0,2520,0,799,0,0,0,0,0,0,0,0,0,0,3533,0,0,0,2520,0,2520,0,0,0,0,0,1917,0,26946,0,445,0,0,996,4992,0,0,0,25,0,0,20357,0,0,0,0,0,0,0,0,456,111,0,0,0,0,4254,0,0,2520,0,799,0,0,0,0,0,0,0,0,0,0,3533
2023年01月,和光大学,和光大学リポジトリ,2023,1,1562,1549,0,0,13,0,0,0,0,0,0,0,0,0,2,0,955,0,25,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,2,0,942,0,25,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566
2023年01月,稚内北星学園大学,稚内北星学園大学学術機関リポジトリ,2023,1,365,353,0,0,12,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2023年01月,和歌山大学,和歌山大学学術リポジトリ,2023,1,4712,4411,3691,0,297,0,72,0,72,0,0,0,0,0,10,0,4282,0,11,0,0,13,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,45,0,0,0,0,0,4,0,0,72,0,4,0,0,0,0,0,0,0,0,0,0,266,0,0,0,72,0,72,0,0,0,0,0,10,0,3985,0,11,0,0,13,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,72,0,4,0,0,0,0,0,0,0,0,0,0,266
2023年01月,羽陽学園短期大学,羽陽学園短期大学リポジトリ,2023,1,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,宇都宮大学,宇都宮大学 学術情報リポジトリ（UU-AIR）,2023,1,8832,1893,47,0,6938,0,197,0,197,0,0,0,0,0,52,0,3298,0,65,0,0,414,25,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,222,0,0,0,0,0,324,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,4232,0,0,0,197,0,197,0,0,0,0,0,52,0,1004,0,21,0,0,78,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,58,0,0,0,0,0,4,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,467
2023年01月,浦和大学,浦和大学リポジトリ,2023,1,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
